timestamp_ist,signal,ticker,exchange,price,alert_time
2026-08-10 09:20:01,Buy B,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:03,Buy A,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:04,Buy A,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:06,Buy A,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:07,Buy A,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:09,Sell A++,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:11,Buy A,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:12,Buy A,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:14,Buy B,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:16,Buy A,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:17,Sell B+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:19,Buy B,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:20,Sell B+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:22,Buy A,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:23,Buy B,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:25,Buy A,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:26,Buy A,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:28,Sell B+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:30,Sell B+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:31,Sell B+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:33,Buy A,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:34,Sell B+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:36,Sell B+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:20:37,Sell B+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:25:04,Buy B,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:25:05,Sell B+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:25:07,Sell B+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:30:03,Sell A+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:30:07,Sell B+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:30:14,Sell B+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:30:18,Sell B+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:35:07,Sell B+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:40:04,Sell E+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:45:12,Sell A+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 09:55:09,Sell E,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 10:00:03,Buy B,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 10:10:03,Buy B,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 10:10:05,Buy B,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 10:10:06,Sell E,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 10:10:10,Sell E,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 10:15:04,Sell E+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 10:20:07,Sell E,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 10:20:09,Buy B,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 10:25:06,Sell E,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 11:05:02,Buy B,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 11:15:11,Buy B,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 11:20:05,Buy B,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 11:20:08,Buy B,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 11:25:01,Sell E+,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 11:35:01,Sell E,{{ticker}},{{exchange}},{{close}},{{time}}
2026-08-10 11:50:07,Sell E,TORNTPOWER,NSE,1358,2026-08-10 11:45:00 IST
2026-08-10 11:55:02,Sell E,INFY,NSE,1184.3,2026-08-10 11:50:00 IST
2026-08-10 11:55:07,Buy B,HDFCAMC,NSE,2570.7,2026-08-10 11:50:00 IST
2026-08-10 12:15:14,Sell (E),FORCEMOT,NSE,18569
2026-08-10 12:20:05,Sell (E),BHARATFORG,NSE,2262.3
2026-08-10 12:25:06,Sell (E),MOTILALOFS,NSE,870.8
2026-08-10 12:30:06,Sell (E),NATIONALUM,NSE,383.3
2026-08-10 12:30:07,Sell (E),TATACONSUM,NSE,1094.2
2026-08-10 12:30:14,Sell (E),COFORGE,NSE,1799.7
2026-08-10 12:35:04,Sell (E+),TATASTEEL,NSE,190.51
2026-08-10 12:35:06,Sell (E),CAMS,NSE,792.7
2026-08-10 12:35:08,Sell (E+),JINDALSTEL,NSE,1113.8
2026-08-10 12:45:11,Sell (E),KPITTECH,NSE,633.1
2026-08-10 12:50:08,Sell (E),TECHM,NSE,1641.9
2026-08-10 13:05:06,Sell (E),TMPV,NSE,347.6
2026-08-10 13:05:08,Sell (E),CDSL,NSE,1333.2
2026-08-10 13:10:05,Buy (B+),DALBHARAT,NSE,1854.7
2026-08-10 13:10:06,Sell (E),MUTHOOTFIN,NSE,2908.9
2026-08-10 13:15:03,Sell (E+),PRESTIGE,NSE,1593.7
2026-08-10 13:25:07,Sell (E),TATAELXSI,NSE,3814.9
2026-08-10 13:30:16,Sell (E),PNBHOUSING,NSE,1156.9
2026-08-10 13:45:03,Buy (B+),MOTILALOFS,NSE,884.55
2026-08-11 09:20:01,Sell (A++),SUPREMEIND,NSE,3451.5
2026-08-11 09:20:03,Buy (C+),ADANIENSOL,NSE,1661.5
2026-08-11 09:20:05,Buy (C),ADANIGREEN,NSE,1382.9
2026-08-11 09:20:07,Buy (A+),NIFTY_MS_IT_TELCM,NSE,9987.3
2026-08-11 09:20:08,Buy (B),COFORGE,NSE,1831.8
2026-08-11 09:20:10,Buy (B+),ONGC,NSE,242.25
2026-08-11 09:20:12,Buy (A, B, C+),HCLTECH,NSE,1376.1
2026-08-11 09:20:13,Sell (B+),NBCC,NSE,94
2026-08-11 09:20:15,Buy (C+),OIL,NSE,473.5
2026-08-11 09:20:16,Sell (B+),BHARTIARTL,NSE,1927.2
2026-08-11 09:20:18,Buy (A+, C+),LICI,NSE,399.55
2026-08-11 09:20:20,Sell (B+),NIFTY,NSE,24504.75
2026-08-11 09:20:22,Sell (B+),BANKNIFTY,NSE,57338.6
2026-08-11 09:20:23,Buy (A),NIFTY_CONSR_DURBL,NSE,40513.1
2026-08-11 09:20:25,Sell (B+),CNXFMCG,NSE,49154.95
2026-08-11 09:20:26,Sell (B+),JIOFIN,NSE,252.7
2026-08-11 09:20:28,Sell (A++),BAJFINANCE,NSE,1086.6
2026-08-11 09:20:30,Sell (B+),AXISBANK,NSE,1236.5
2026-08-11 09:20:31,Sell (B+),NHPC,NSE,76.5
2026-08-11 09:20:33,Sell (B+),COALINDIA,NSE,409.9
2026-08-11 09:20:35,Sell (A++),JUBLFOOD,NSE,491.25
2026-08-11 09:20:36,Sell (A++),DLF,NSE,652.8
