timestamp_ist,signal,symbol,cmp,pcr,score,maxPain,mpGap
2026-07-23 12:42:54,SELL-CORE,NMDC,82.73,1.26,27,84,-1.51
2026-07-23 12:42:55,BUY-CORE,TRENT,2899.5,0.84,53,2900,-0.02
2026-07-23 12:42:57,SELL,COFORGE,1450.3,0.54,0,1500,-3.31
2026-07-23 12:42:57,SELL-CORE,COFORGE,1450.3,0.54,0,1500,-3.31
2026-07-23 12:42:58,SELL-CORE,INDIGO,5055.0,1.45,43,5100,-0.88
2026-07-23 12:42:59,SELL,YESBANK,23.01,0.4,22,26,-11.5
2026-07-23 12:43:00,SELL-CORE,YESBANK,23.01,0.4,22,26,-11.5
2026-07-23 12:43:01,SELL-CORE,AMBER,7407.0,1.71,56,7300,1.47
2026-07-23 12:43:02,BUY-CORE,TECHM,1552.8,0.73,42,1564,-0.72
2026-07-23 12:43:02,SELL-CORE,TECHM,1552.8,0.73,42,1564,-0.72
2026-07-23 12:43:03,SELL-CORE,ASHOKLEY,151.91,0.95,27,157.5,-3.55
2026-07-23 12:43:04,BUY-CORE,HEROMOTOCO,5166.1,0.39,57,5200,-0.65
2026-07-23 12:43:05,SELL,AMBUJACEM,426.95,0.53,22,440,-2.97
2026-07-23 12:43:05,SELL-CORE,AMBUJACEM,426.95,0.53,22,440,-2.97
2026-07-23 12:43:06,SELL,NBCC,93.72,0.75,0,100,-6.28
2026-07-23 12:43:07,SELL-CORE,NBCC,93.72,0.75,0,100,-6.28
2026-07-23 12:43:08,BUY-CORE,EICHERMOT,7720.5,0.54,57,7800,-1.02
2026-07-23 12:43:08,SELL,ADANIPORTS,1800.0,0.73,0,1840,-2.17
2026-07-23 12:43:09,SELL-CORE,ADANIPORTS,1800.0,0.73,0,1840,-2.17
2026-07-23 12:43:10,BUY-CORE,INDIANB,821.45,1.24,58,820,0.18
2026-07-23 12:43:10,SELL-CORE,INDIANB,821.45,1.24,58,820,0.18
2026-07-23 12:43:11,BUY-CORE,FEDERALBNK,352.8,0.8,53,350,0.8
2026-07-23 12:43:12,BUY-CORE,TVSMOTOR,3926.4,0.54,57,3950,-0.6
2026-07-23 12:43:13,SELL-CORE,HDFCAMC,2510.9,3.47,43,2500,0.44
2026-07-23 12:43:14,BUY-CORE,RVNL,224.54,0.57,44,240,-6.44
2026-07-23 12:43:15,SELL,PNB,110.08,0.77,27,110,0.07
2026-07-23 12:43:16,SELL-CORE,PNB,110.08,0.77,27,110,0.07
2026-07-23 12:43:17,BUY,BAJAJ-AUTO,11262.5,1.06,100,11100,1.46
2026-07-23 12:43:17,BUY-CORE,BAJAJ-AUTO,11262.5,1.06,100,11100,1.46
2026-07-23 12:43:18,SELL-CORE,POLYCAB,8965.0,0.89,0,9100,-1.48
2026-07-23 12:43:19,BUY-CORE,BAJAJFINSV,1893.9,0.58,57,1900,-0.32
2026-07-23 12:43:20,SELL,LUPIN,2397.3,0.74,27,2460,-2.55
2026-07-23 12:43:21,SELL-CORE,LUPIN,2397.3,0.74,27,2460,-2.55
2026-07-23 12:43:22,BUY-CORE,HCLTECH,1239.9,0.7,44,1230,0.8
2026-07-23 12:43:23,SELL-CORE,HDFCLIFE,551.05,0.91,27,565,-2.47
2026-07-23 12:43:24,BUY-CORE,CUMMINSIND,5588.0,0.59,36,5650,-1.1
2026-07-23 12:43:25,SELL,CUMMINSIND,5588.0,0.59,36,5650,-1.1
2026-07-23 12:43:25,SELL-CORE,CUMMINSIND,5588.0,0.59,36,5650,-1.1
2026-07-23 12:43:26,SELL,LAURUSLABS,1565.9,0.76,0,1580,-0.89
2026-07-23 12:43:27,SELL-CORE,LAURUSLABS,1565.9,0.76,0,1580,-0.89
